date,title,amount
2025-08-30,Divino Eterno,5.00
2025-08-30,Uber Uber *Trip Help.U,15.58
2025-08-29,Uber Uber *Trip Help.U,5.92
2025-08-28,Joaopauloelias,12.50
2025-08-27,Amazon Prime Aluguel,6.90
2025-08-26,Uber Uber *Trip Help.U,9.02
2025-08-24,Amazon Prime Aluguel,4.90
2025-08-24,"Estorno de ""Burger King App""",-75.80
2025-08-24,Burger King App,75.80
2025-08-23,Ifd*56.119.929 Yasmin,17.00
2025-08-23,Uber Uber *Trip Help.U,6.87
2025-08-23,Uber* Trip,6.22
2025-08-23,Pg *Gamers Club,21.90
2025-08-22,Ifd*Weiler Burger,35.50
2025-08-21,Uber* Trip,7.65
2025-08-21,Uber Uber *Trip Help.U,7.04
2025-08-20,57852747joaopaulo,7.00
2025-08-17,Ifd*Comes e Bebes Come,10.00
2025-08-16,Emporio Barril,30.99
2025-08-14,57852747joaopaulo,7.00
2025-08-13,EBW*Canva - NuPay,35.00
2025-08-12,Dl*99 Ride,7.90
2025-08-11,Nsa Supermercados,24.99
2025-08-11,King Frios,57.48
2025-08-08,Airbnb * Hm58qnqa3c - Parcela 1/3,127.68
2025-08-08,Uber Uber *One Members,19.90
2025-08-07,Ifd*Ifood Club,5.95
2025-08-06,Kabum - Parcela 4/10,65.90
2025-08-06,51.519.881 Vitor Garc - Parcela 2/2,158.55
2025-08-06,Parcelamento de Compra - Pg *Fallen Comercio e - 4/4,56.02
2025-08-06,Pagamento recebido,-725.87
2025-08-06,Parcelamento de Compra - Emporio Barril - 2/2,23.21
